Country,GII,Maternal_mortality,Adolescent_birth_rate,Seats_parliament,F_secondary_educ,M_secondary_educ,F_Labour_force,M_Labour_force
Switzerland,0.018,5.0,2.2,39.8,96.9,97.5,61.7,72.7
Norway,0.016,2.0,2.3,45.0,99.1,99.3,60.3,72.0
Iceland,0.043,4.0,5.4,47.6,99.8,99.7,61.7,70.5
Australia,0.073,6.0,8.1,37.9,94.6,94.4,61.1,70.5
Denmark,0.013,4.0,1.9,39.7,95.1,95.2,57.7,66.7
Sweden,0.023,4.0,3.3,47.0,91.8,92.2,61.7,68.0
Ireland,0.074,5.0,5.9,27.3,88.1,86.0,56.5,68.6
Germany,0.073,7.0,7.5,34.8,96.1,96.5,56.8,66.0
Netherlands,0.025,5.0,2.8,39.1,89.8,92.7,62.4,71.3
Finland,0.033,3.0,4.2,46.0,99.0,98.5,56.5,64.0
Singapore,0.04,8.0,2.6,29.8,80.5,85.9,59.4,76.8
Belgium,0.048,5.0,5.3,42.9,87.2,89.7,49.8,58.8
New Zealand,0.088,9.0,12.6,49.2,82.0,81.8,65.1,75.3
Canada,0.069,10.0,7.0,34.4,100.0,100.0,60.8,69.7
Luxembourg,0.044,5.0,4.3,35.0,100.0,100.0,58.5,65.5
United Kingdom,0.098,7.0,10.5,31.1,99.8,99.8,58.0,67.1
Japan,0.083,5.0,2.9,14.2,95.9,92.7,53.3,71.0
South Korea,0.067,11.0,2.2,19.0,83.1,93.1,53.4,72.4
United States,0.179,19.0,16.0,27.0,96.5,96.4,55.2,66.4
Israel,0.083,3.0,7.6,28.3,91.6,93.7,58.5,66.1
Malta,0.167,6.0,11.5,13.4,82.2,88.1,53.1,71.4
Slovenia,0.071,7.0,4.5,21.5,97.6,98.7,53.8,62.2
Austria,0.053,5.0,5.5,39.3,100.0,100.0,55.5,66.3
United Arab Emirates,0.049,3.0,3.1,50.0,82.0,85.6,46.5,88.0
Spain,0.057,4.0,6.3,42.3,78.5,83.2,52.7,62.4
France,0.083,8.0,9.5,37.8,83.5,87.9,51.9,59.7
Cyprus,0.123,6.0,6.8,14.3,81.1,84.8,56.6,68.8
Italy,0.056,2.0,4.0,35.3,78.6,86.1,39.9,57.6
Estonia,0.1,9.0,8.8,25.7,97.6,98.1,57.5,70.2
Czechia,0.12,3.0,9.7,22.1,99.8,99.8,51.7,68.1
Greece,0.119,3.0,8.5,21.7,69.9,77.8,43.3,58.1
Poland,0.109,2.0,9.7,27.5,86.5,90.7,49.2,65.5
Bahrain,0.181,14.0,8.7,18.8,79.9,83.1,42.4,83.5
Lithuania,0.105,8.0,10.4,27.7,95.5,97.9,57.3,67.9
Saudi Arabia,0.247,17.0,11.9,19.9,71.3,80.9,30.9,80.1
Portugal,0.067,8.0,7.4,40.0,59.7,61.9,54.0,62.2
Latvia,0.151,19.0,11.2,29.0,99.7,99.3,54.5,66.8
Croatia,0.093,8.0,8.6,31.1,97.0,100.0,45.9,58.8
Chile,0.187,13.0,24.1,32.7,80.3,83.5,44.2,65.5
Qatar,0.22,9.0,7.1,4.4,79.8,69.6,57.2,95.5
Slovakia,0.18,5.0,26.3,22.7,98.9,99.2,54.7,66.4
Hungary,0.221,12.0,22.1,13.1,97.6,98.8,52.1,67.2
Argentina,0.287,39.0,39.1,44.4,71.0,71.4,50.0,71.6
Türkiye,0.272,17.0,16.9,17.3,56.3,75.9,31.8,69.4
Montenegro,0.119,6.0,10.4,24.7,92.3,99.2,47.8,62.0
Kuwait,0.305,12.0,5.6,1.5,60.9,55.2,47.4,83.8
Brunei Darussalam,0.259,31.0,10.0,9.1,70.4,71.2,54.1,72.3
Russian Federation,0.203,17.0,15.0,16.5,92.8,95.9,54.5,69.7
Romania,0.282,19.0,36.4,18.5,88.8,93.7,42.8,62.3
Oman,0.3,19.0,9.9,9.9,96.6,99.9,28.7,85.0
Bahamas,0.329,70.0,25.7,20.0,87.0,89.9,65.6,71.5
Kazakhstan,0.161,10.0,21.9,24.5,99.8,100.0,63.3,75.5
Trinidad and Tobago,0.344,67.0,38.1,32.4,84.8,80.6,46.7,68.0
Costa Rica,0.256,27.0,37.1,45.6,56.2,54.5,47.5,71.1
Uruguay,0.235,17.0,36.2,26.2,59.6,55.5,54.8,69.3
Belarus,0.104,2.0,11.9,34.7,97.5,99.0,57.3,71.4
Panama,0.392,52.0,69.9,22.5,70.2,68.7,50.4,72.6
Malaysia,0.228,29.0,9.3,14.9,75.0,78.4,51.2,77.6
Georgia,0.28,25.0,31.7,19.3,97.1,98.3,51.0,68.0
Mauritius,0.347,61.0,24.6,20.0,64.4,70.8,43.4,70.4
Serbia,0.131,12.0,14.9,39.2,88.6,95.3,46.6,62.3
Thailand,0.333,37.0,32.7,13.9,47.6,51.7,59.0,75.0
Albania,0.144,15.0,14.5,35.7,95.4,93.0,50.7,66.2
Bulgaria,0.21,10.0,38.6,23.8,94.9,96.5,49.1,62.6
Barbados,0.268,27.0,42.3,29.4,95.4,86.0,56.1,63.7
Sri Lanka,0.383,36.0,15.7,5.4,84.0,84.2,30.9,68.5
Bosnia and Herzegovina,0.136,10.0,9.9,24.6,82.7,94.0,32.3,52.4
Iran,0.459,16.0,30.2,5.6,71.6,76.0,14.4,68.1
Ukraine,0.2,19.0,15.6,20.8,96.2,95.8,48.1,63.6
North Macedonia,0.134,7.0,16.4,41.7,61.9,75.1,42.4,63.4
China,0.192,29.0,11.0,24.9,78.3,85.4,61.6,74.3
Dominican Republic,0.429,95.0,65.6,25.7,77.4,76.9,49.6,75.2
Moldova,0.205,19.0,27.8,39.6,96.1,98.0,33.9,43.9
Cuba,0.303,36.0,48.8,53.4,89.5,91.9,40.3,68.5
Peru,0.38,88.0,56.8,40.0,59.3,69.9,66.1,81.9
Armenia,0.216,26.0,18.5,33.6,96.0,97.1,42.7,63.0
Mexico,0.309,33.0,54.4,49.8,65.1,66.7,43.8,75.4
Brazil,0.39,60.0,45.2,14.8,62.4,59.1,49.1,68.2
Colombia,0.424,83.0,59.0,19.6,58.9,56.5,52.2,78.0
Saint Vincent and the Grenadines,0.39,68.0,47.9,18.2,44.1,39.6,52.9,74.1
Maldives,0.348,53.0,7.3,4.6,46.4,41.5,34.3,67.5
Algeria,0.499,112.0,11.7,7.5,46.0,56.9,15.7,64.5
Azerbaijan,0.294,26.0,40.1,18.2,93.6,97.6,60.4,67.3
Tonga,0.631,52.0,19.0,0.0,93.5,93.1,37.3,55.3
Turkmenistan,0.177,7.0,21.8,25.0,93.5,92.2,36.5,55.6
Ecuador,0.362,59.0,63.2,39.4,53.0,52.0,53.3,76.5
Mongolia,0.313,45.0,26.7,17.1,79.3,73.0,51.5,66.6
Egypt,0.443,37.0,44.8,22.9,81.6,76.6,15.4,67.1
Tunisia,0.259,43.0,6.7,26.3,42.9,51.8,25.5,67.2
Fiji,0.318,34.0,26.8,21.6,90.2,87.9,37.7,75.3
Suriname,0.427,120.0,56.1,29.4,69.9,70.7,43.4,65.1
Uzbekistan,0.227,29.0,15.9,28.7,99.9,100.0,44.9,70.9
Jordan,0.471,46.0,25.4,11.8,77.4,84.2,13.5,62.3
Libya,0.259,72.0,6.9,16.0,70.5,45.1,34.1,61.0
Paraguay,0.445,84.0,70.3,16.8,52.5,54.0,59.6,84.2
Saint Lucia,0.381,117.0,36.9,24.1,49.9,43.8,63.2,73.2
Guyana,0.454,169.0,66.6,35.7,69.5,62.2,40.3,64.1
South Africa,0.405,119.0,61.2,46.0,68.9,87.7,46.2,59.9
Jamaica,0.335,80.0,32.8,31.0,74.3,66.4,56.1,70.0
Samoa,0.418,43.0,43.6,7.8,79.1,71.6,30.7,54.2
Gabon,0.541,252.0,91.2,18.7,67.2,84.0,39.1,57.0
Lebanon,0.432,29.0,20.3,4.7,54.3,55.6,20.8,64.3
Indonesia,0.444,177.0,33.9,21.0,51.0,58.2,53.7,81.7
Viet Nam,0.296,43.0,34.6,30.3,61.3,69.6,69.6,79.4
Philippines,0.419,121.0,48.2,28.0,73.4,69.1,43.8,68.3
Botswana,0.468,144.0,49.3,10.8,91.3,91.8,56.3,65.1
Bolivia,0.418,155.0,63.8,48.2,60.1,69.7,68.3,83.8
Kyrgyzstan,0.37,60.0,34.7,20.5,100.0,99.8,42.1,71.7
Venezuela,0.492,125.0,82.7,22.2,79.8,75.4,34.3,67.8
Iraq,0.558,79.0,62.2,28.9,42.0,52.9,11.1,71.8
Tajikistan,0.285,17.0,45.4,23.4,93.5,94.6,30.2,50.5
Belize,0.364,36.0,57.1,19.6,54.5,49.8,46.9,76.8
Morocco,0.425,70.0,25.9,20.4,30.9,37.1,22.0,66.0
El Salvador,0.376,46.0,55.9,27.4,42.7,51.4,43.6,72.6
Nicaragua,0.424,98.0,85.6,50.5,51.2,49.7,46.8,81.3
Bhutan,0.415,183.0,19.0,16.7,23.6,32.3,51.6,67.4
Cabo Verde,0.349,58.0,55.2,38.9,28.8,31.2,46.9,61.7
Bangladesh,0.53,173.0,75.5,20.9,50.6,58.5,34.9,78.8
India,0.49,133.0,17.2,13.4,41.8,53.8,19.2,70.1
Ghana,0.529,308.0,64.2,14.5,58.0,73.2,64.5,72.2
Guatemala,0.481,95.0,64.1,19.4,29.5,35.8,37.4,80.3
Honduras,0.431,65.0,72.0,27.3,35.8,44.8,42.3,78.9
Sao Tome and Principe,0.494,130.0,79.4,23.6,39.9,48.4,37.1,69.9
Namibia,0.445,195.0,64.9,35.6,41.5,44.1,54.5,62.2
Lao People's Democratic Republic,0.478,185.0,73.2,22.0,37.7,47.7,74.8,78.1
Timor-Leste,0.378,142.0,33.9,38.5,33.7,41.8,61.0,72.2
Nepal,0.452,186.0,63.8,33.6,28.8,44.7,78.7,80.8
Eswatini,0.54,437.0,69.9,18.4,34.0,36.2,45.6,53.6
Cambodia,0.461,160.0,45.5,19.8,18.3,31.7,74.0,85.9
Zimbabwe,0.532,458.0,94.3,34.6,61.8,72.4,79.3,88.9
Angola,0.537,241.0,138.4,29.5,28.2,51.5,74.0,79.1
Myanmar,0.498,250.0,33.0,15.0,38.5,47.8,41.0,70.0
Syrian Arab Republic,0.477,31.0,38.7,11.2,37.1,43.4,15.7,70.8
Cameroon,0.565,529.0,110.4,31.1,36.8,55.0,70.2,80.7
Kenya,0.506,342.0,64.2,23.2,31.1,37.7,71.0,75.6
Congo,0.564,378.0,103.6,13.6,48.0,52.0,65.1,67.6
Zambia,0.54,213.0,117.0,15.1,47.1,56.8,69.2,77.8
Papua New Guinea,0.725,145.0,55.3,0.0,10.8,15.5,46.3,48.1
Mauritania,0.632,766.0,78.0,20.3,14.5,21.9,27.4,62.2
Côte d'Ivoire,0.613,617.0,105.0,15.6,23.9,32.2,45.9,64.9
Tanzania,0.56,524.0,123.7,36.9,13.0,19.1,79.5,87.1
Pakistan,0.534,140.0,42.3,19.9,22.1,28.7,20.7,78.1
Togo,0.58,396.0,77.9,18.7,13.9,42.3,55.5,59.4
Haiti,0.635,480.0,52.5,2.7,27.9,41.0,60.7,68.9
Nigeria,0.68,917.0,101.7,4.5,40.4,55.3,47.9,59.6
Rwanda,0.388,248.0,32.4,55.7,11.4,16.3,82.5,82.2
Benin,0.602,397.0,92.3,8.4,21.1,34.4,69.3,72.6
Uganda,0.53,375.0,107.9,33.8,29.3,36.3,64.2,71.3
Lesotho,0.557,544.0,89.6,22.9,27.2,24.6,56.1,71.3
Malawi,0.554,349.0,117.9,22.9,21.3,28.4,71.6,80.0
Senegal,0.53,315.0,66.5,43.0,11.1,30.9,33.5,56.7
Sudan,0.553,295.0,79.9,31.0,16.4,20.1,28.7,67.8
Madagascar,0.556,335.0,119.4,17.2,27.3,29.8,81.5,87.6
Gambia,0.611,597.0,63.2,8.6,29.9,43.2,48.9,66.3
Ethiopia,0.52,401.0,69.2,39.5,9.1,20.1,72.3,84.7
Guinea-Bissau,0.627,667.0,87.5,13.7,9.8,22.8,63.9,78.4
Liberia,0.648,661.0,123.4,9.7,20.8,39.2,69.8,79.7
Congo,0.601,473.0,109.0,14.3,40.3,69.1,61.2,69.1
Afghanistan,0.678,638.0,82.6,27.2,6.4,14.9,14.8,66.5
Sierra Leone,0.633,1120.0,100.9,12.3,34.7,51.5,56.1,55.9
Guinea,0.621,576.0,114.8,16.7,7.2,19.7,62.1,62.2
Yemen,0.82,164.0,54.4,0.3,22.4,37.5,6.0,67.6
Burkina Faso,0.621,320.0,110.5,6.3,11.3,17.1,57.2,72.7
Mozambique,0.537,289.0,165.8,42.4,10.8,20.2,77.7,78.9
Mali,0.613,562.0,150.1,27.3,8.0,15.5,57.7,79.7
Burundi,0.505,548.0,53.6,38.9,7.8,13.0,79.0,77.4
Central African Republic,0.672,829.0,160.5,12.9,13.9,31.6,63.3,79.5
Niger,0.611,509.0,170.5,25.9,9.2,15.2,61.7,84.3
Chad,0.652,1140.0,138.3,32.3,7.7,24.4,46.9,69.9
South Sudan,0.587,1150.0,99.2,32.3,26.5,36.4,70.4,73.6
